name,address,lat,lng
가양초등학교,경기도 남양주시 수동면 수산리 12-2,37.7330281,127.2934794
주천중학교,전라북도 진안군 주천면 주양리 75,35.978532,127.4292856
장자초등학교,경기도 구리시 교문동 824,37.5866842,127.1354141
백문초등학교,경기도 구리시 교문동 808-1,37.5882147,127.1327808
부양초등학교,경기도 구리시 수택동 784-2,37.5901023,127.1420214
내양초등학교,경기도 구리시 사노동 393-2,37.6403707,127.1394163
토평초등학교,경기도 구리시 토평동 611-3,37.5874854,127.1464673
도림초등학교,경기도 구리시 교문동 396-1,37.5933786,127.1304449
교문초등학교,경기도 구리시 교문동 732,37.5977363,127.133667
구리초등학교,경기도 구리시 수택동 553,37.6007677,127.1478334
인창초등학교,경기도 구리시 인창동 546-9,37.6047692,127.1318528
건원초등학교,경기도 구리시 인창동 514,37.6072839,127.1356518
동인초등학교,경기도 구리시 인창동 495-48,37.6105948,127.1337446
동구초등학교,경기도 구리시 인창동 664-3,37.6088509,127.1417158
구지초등학교,경기도 구리시 인창동 666-3,37.6071793,127.1423239
수택초등학교,경기도 구리시 토평동 1007,37.591935,127.15252
의정부중앙초등학교,경기도 의정부시 의정부동 224,37.744459,127.0468845
배영초등학교,경기도 의정부시 의정부동 229-2,37.7478904,127.0466931
호암초등학교,경기도 의정부시 호원동 226-14,37.7047577,127.0466099
만천초등학교,강원도 춘천시 동면 만천리 978,37.8842725,127.7579254
지촌초등학교,강원도 춘천시 사북면 지촌리 347,38.0379538,127.6448853
